ID,pH,Temperature,Colour,Turbidity,Timestamp
1,6.76,32.37,111,21.06,2026-06-18T10:00:00
2,7.89,25.53,124,20.83,2026-06-18T10:01:00
3,8.18,29.89,81,19.11,2026-06-18T10:02:00
4,7.16,30.65,60,44.87,2026-06-18T10:03:00
5,8.02,30.12,102,39.56,2026-06-18T10:04:00
6,8.15,24.28,55,13.48,2026-06-18T10:05:00
7,7.64,34.79,101,32.5,2026-06-18T10:06:00
8,6.74,32.35,139,42.42,2026-06-18T10:07:00
9,7.32,23.32,38,35.38,2026-06-18T10:08:00
10,7.49,27.49,63,27.08,2026-06-18T10:09:00
11,7.74,22.02,131,40.54,2026-06-18T10:10:00
12,7.85,31.16,30,39.09,2026-06-18T10:11:00
13,8.19,27.74,133,26.83,2026-06-18T10:12:00
14,7.83,28.07,33,36.74,2026-06-18T10:13:00
15,7.37,36.63,38,20.8,2026-06-18T10:14:00
16,8.29,36.28,113,31.45,2026-06-18T10:15:00
17,7.02,34.93,84,17.49,2026-06-18T10:16:00
18,7.42,23.16,36,33.55,2026-06-18T10:17:00
19,7.51,35.01,30,35.9,2026-06-18T10:18:00
20,7.91,29.01,103,26.01,2026-06-18T10:19:00
21,7.56,22.65,82,35.57,2026-06-18T10:20:00
22,7.19,34.87,79,11.64,2026-06-18T10:21:00
23,7.71,33.04,105,40.5,2026-06-18T10:22:00
24,7.52,28.23,129,32.6,2026-06-18T10:23:00
25,6.68,28.88,108,42.15,2026-06-18T10:24:00
26,7.55,34.65,44,35.73,2026-06-18T10:25:00
27,8.17,22.16,67,37.39,2026-06-18T10:26:00
28,7.25,33.19,51,42.49,2026-06-18T10:27:00
29,7.81,26.47,47,16.76,2026-06-18T10:28:00
30,8.11,36.17,50,22.28,2026-06-18T10:29:00
31,7.91,29.35,117,44.34,2026-06-18T10:30:00
32,8.19,22.93,76,14.83,2026-06-18T10:31:00
33,7.52,26.31,49,35.19,2026-06-18T10:32:00
34,7.34,23.89,34,44.41,2026-06-18T10:33:00
35,7.65,23.06,126,11.3,2026-06-18T10:34:00
36,7.72,33.96,117,15.84,2026-06-18T10:35:00
37,8.08,27.19,31,29.1,2026-06-18T10:36:00
38,6.86,29.18,40,21.43,2026-06-18T10:37:00
39,6.98,24.73,117,26.64,2026-06-18T10:38:00
40,7.82,37.37,138,44.28,2026-06-18T10:39:00
41,7.01,23.93,136,30.38,2026-06-18T10:40:00
42,7.14,35.98,56,43.37,2026-06-18T10:41:00
43,7.82,33.35,41,44.27,2026-06-18T10:42:00
44,8.0,33.9,55,10.41,2026-06-18T10:43:00
45,7.85,36.4,94,32.27,2026-06-18T10:44:00
46,6.82,34.35,101,8.14,2026-06-18T10:45:00
47,8.09,30.78,55,21.91,2026-06-18T10:46:00
48,7.85,33.78,52,15.04,2026-06-18T10:47:00
49,7.78,25.79,114,24.62,2026-06-18T10:48:00
50,7.35,30.66,120,33.89,2026-06-18T10:49:00
51,8.32,23.27,106,37.76,2026-06-18T10:50:00
52,7.85,36.31,93,42.66,2026-06-18T10:51:00
53,8.04,34.53,53,40.81,2026-06-18T10:52:00
54,7.51,23.91,72,30.11,2026-06-18T10:53:00
55,7.08,35.25,107,13.9,2026-06-18T10:54:00
56,7.53,23.79,49,38.81,2026-06-18T10:55:00
57,6.72,26.13,111,23.57,2026-06-18T10:56:00
58,6.9,30.9,57,31.48,2026-06-18T10:57:00
59,7.02,25.68,114,24.74,2026-06-18T10:58:00
60,7.93,33.16,131,11.97,2026-06-18T10:59:00
61,7.81,22.92,39,29.07,2026-06-18T11:00:00
62,7.88,22.84,109,24.21,2026-06-18T11:01:00
63,6.71,36.42,95,9.29,2026-06-18T11:02:00
64,6.95,36.68,97,18.98,2026-06-18T11:03:00
65,7.31,35.85,123,17.28,2026-06-18T11:04:00
66,6.99,35.86,79,36.55,2026-06-18T11:05:00
67,7.99,28.34,135,30.55,2026-06-18T11:06:00
68,7.6,25.39,34,23.5,2026-06-18T11:07:00
69,7.87,29.73,50,13.45,2026-06-18T11:08:00
70,6.72,29.41,130,41.03,2026-06-18T11:09:00
71,8.38,34.04,129,23.27,2026-06-18T11:10:00
72,7.15,24.9,72,36.44,2026-06-18T11:11:00
73,7.88,26.55,125,37.47,2026-06-18T11:12:00
